codCliente,Nome,CPF,Telefone,Endereï¿½o,Cep,Cidade,estado
1,Fulano,173.283.182-12,(99)17384-3823,R.foo,3271-218,Sï¿½o Paulo,SP
2,Deutrano,142.125.974-13,(11)32932-0432,R.foo,9421-384,Indaiatuba,SP
3,Gabriel,783.268.183-21,(11)83720-1283,R.foo,12345-123,SaoPaulo,SP
4,Alberto,236.123.643-83,(11)99231-1947,R.foo,18231-843,Jabaquara,SP
5,Mariana,374.236.213-12,(11)26374-1234,R.foo,3742-384,Ribeirao,SP
6,Alberto,983.374.129-28,(38)37829-2938,R.bar,12834-234,aracatuba,SP
7,usuarioDeletado,000.000.000-07,(00)00000-0000,EnderecoDeletado,00000-000,CidadeDeletada,AA
8,Ada Lovelace,101.110.010-01,(01)10011-1011,R.MIT,10110-011,R/City,AS
9,Maria Eduarda,798.326.300-70,(16)21393-6935,Av. Marechal,13348-235,Indaiatuba,SP
10,Zï¿½,123.123.123-12,(11)93304-0239,Av. ABC,19283-437,Sao Paulo,SP
11,Taina,123.784.876-53,(11)99999-9999,R aaa,12345-124,abobra,SP
12,usuarioDeletado,000.000.000-012,(00)00000-0000,EnderecoDeletado,00000-000,CidadeDeletada,AA
13,Guilherme Pereira,541.904.463-05,(19)97160-7404, Rua Z, 40,13366-802, SÆo Paulo,SP
14,JoÆo Luccas,589.785.462-88,(11)94982-2203,casa do crlh,13346-440,Indaiatuba,SP



















































































